field1,field2,field3,field4
Old Man's War,John Scalzi,https://www.goodreads.com/book/show/36510196-old-man-s-war,John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.  The good news is that humanity finally made it into interstellar space. The bad news is that planets fit to live on are scarce-- and alien races willing to fight us for them are common. So: we fight. To defend Earth and to stake our own claim to planetary real estate. Far from Earth the war has been going on for decades: brutal bloody unyielding.  Earth itself is a backwater. The bulk of humanity's resources are in the hands of the Colonial Defense Force. Everybody knows that when you reach retirement age you can join the CDF. They don't want young people
Sargasso of Space,Andre Norton,https://www.goodreads.com/book/show/94721.Sargasso_of_Space,"Almost half a century ago renowned science fiction and fantasy author Andre Norton introduced apprentice cargo master Dane Thorson in Sargasso of Space in the first of the star-spanning tales of the Solar Queen series  Dane signed on with the independent cargo ship Solar Queen looking for a career in off-world trade. In Sargasso of Space the Solar Queen free traders win exclusive rights to trade with the planet Limbo but the crew arrives to find most of the planet’s surface charred with little signs of life. They find a valley with life but others may still lurk. Worse yet a strange force threatens to cripple the Queen. They must solve the planet’s mysteries if they hope to escape not only with tradable goods but their lives.  First of the ""Solar Queen"" adventures originally published under the pseudonym ""Andrew North."" This is the second ace edition."
Partials,Dan Wells,https://www.goodreads.com/book/show/12476820-partials,Humanity is all but extinguished after a war with Partials—engineered organic beings identical to humans—has decimated the population. Reduced to only tens of thousands by a weaponized virus to which only a fraction of humanity is immune the survivors in North America have huddled together on Long Island. But sixteen-year-old Kira is determined to find a solution. As she tries desperately to save what is left of her race she discovers that that the survival of both humans and Partials rests in her attempts to answer questions about the war's origin that she never knew to ask.  Playing on our curiosity of and fascination with the complete collapse of civilization Partials is at its heart a story of survival one that explores the individual narratives and complex relationships of those left behind both humans and Partials alike—and of the way in which the concept of what is right and wrong in this world is greatly dependent on one's own point of view.  Supports the Common Core State Standards.
The Risen Empire,Scott Westerfeld,https://www.goodreads.com/book/show/267022.The_Risen_Empire,Captain Laurent Zai of Imperial Frigate Lynx must rescue the Child Empress sister of immortal Emperor worshiped by 80 human worlds for 1600 years. Enemy Rix are machine-augmented humans who worship AI compound minds. Separated by light years bound by an unlikely love Zai and pacifist senator Nara Oxham face the Rix and hold the fate of the empire.
Cat's Cradle,Kurt Vonnegut Jr.,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Told with deadpan humour and bitter irony Kurt Vonnegut's cult tale of global destruction preys on our deepest fears of witnessing Armageddon and worse still surviving it ...  Dr Felix Hoenikker one of the founding 'fathers' of the atomic bomb has left a deadly legacy to the world. For he's the inventor of 'ice-nine' a lethal chemical capable of freezing the entire planet. The search for its whereabouts leads to Hoenikker's three ecentric children to a crazed dictator in the Caribbean to madness. Felix Hoenikker's Death Wish comes true when his last fatal gift to humankind brings about the end that for all of us is nigh...
The Frozen Sky,Jeff Carlson,https://www.goodreads.com/book/show/23349435-the-frozen-sky,BENEATH THE ICE  Something is alive inside Jupiter's ice moon Europa. Robot probes find an ancient tunnel beneath the surface its walls carved with strange hieroglyphics. Led by elite engineer Alexis Vonderach a team of scientists descends into the dark... where they confront a savage race older than mankind...  FIRST CONTACT  Based on the award-winning short story The Frozen Sky is a new full-length sci fi thriller novel from the international bestselling author of Plague Year.
The Defiant Agents,Andre Norton,https://www.goodreads.com/book/show/1183819.The_Defiant_Agents,Travis Fox Apache Indian and an expert in time travel volunteers for a mission to colonize the planet of Topaz. But when he and his fellow Apaches find themselves reverting to the ways of their ancient warrior race Fox suspects that a dangerous force is responsible--and that there's more at stake than just their lives.
Parasite,Mira Grant,https://www.goodreads.com/book/show/13641105-parasite,A decade in the future humanity thrives in the absence of sickness and disease.  We owe our good health to a humble parasite - a genetically engineered tapeworm developed by the pioneering SymboGen Corporation. When implanted the tapeworm protects us from illness boosts our immune system - even secretes designer drugs. It's been successful beyond the scientists' wildest dreams. Now years on almost every human being has a SymboGen tapeworm living within them.  But these parasites are getting restless. They want their own lives...and will do anything to get them.
The State of the Art,Iain M. Banks,https://www.goodreads.com/book/show/129131.The_State_of_the_Art,The first ever collection of Iain Banks' short fiction this volume includes the acclaimed novella The State of the Art. This is a striking addition to the growing body of Culture lore and adds definition and scale to the previous works by using the Earth of 1977 as contrast. The other stories in the collection range from science fiction to horror dark-coated fantasy to morality tale. All bear the indefinable stamp of Iain Banks' staggering talent.
Neanderthal Planet,Brian W. Aldiss,https://www.goodreads.com/book/show/1524364.Neanderthal_Planet,"-On ""Neanderthal Planet"" the beings were both less a than human & more than human. Now they had to decide which way to go! -If you fall into the wrong matrix of the past present or future you must beware of the choices you face. The sign's clear: ""Danger-Religion!"" -""Intangibles Inc."" couldn't be seen but it ruled the lives & deaths of a couple & their children. -In ""Since the Assassination"" a drug granting immortality is conceived. Then moon visitors find that time is distorted. Would Earth withstand such pressures? Four Aldiss epics available for the first time: Neanderthal Planet • novelette 1958 Danger: Religion! • novella 1960 Intangibles Inc. • novelette 1962 Since the Assassination • novelette 1969"
"Star Man's Son, 2250 A.D",Andre Norton,https://www.goodreads.com/book/show/222366.Star_Man_s_Son_2250_A_D,Fors was a mutant. He did not know what drove him to explore the empty lands to the north where the great skeleton ruins of the old civilization rusted away in the wreckage of mankind's hopes. But he could not resist the urging that led him through danger and adventure to the place where he faced the menace of the Star Men.  Two centuries after an atomic war on earth a silver-haired mutant sets out on a dangerous search for a lost city of the ruined civilization.
Star Smashers of the Galaxy Rangers,Harry Harrison,https://www.goodreads.com/book/show/432161.Star_Smashers_of_the_Galaxy_Rangers,The wild galaxy-hopping adventures of brash young scientists Jerry Courtenay and Chuck van Chider are at the core of this classic space opera. When the two college students develop a faster-than-light space drive in their homemade workshed they decide to sneak it aboard their football team's airplane as a prank. The boyish plan backfires however and the boys find themselves along with their crush Sally and the seemingly loveable school caretaker Old John hurtling through the solar system towards Titan—an icy moon of Saturn inhabited by hideous ice creatures. Titan and the 20th century are only square one as the foursome becomes embroiled in a vast intergalactic century-jumping battle.
Brasyl,Ian McDonald,https://www.goodreads.com/book/show/278281.Brasyl,Think Bladerunner in the tropics...  Be seduced amazed and shocked by one of the world's greatest and strangest nations. Past present and future Brazil with all its color passion and shifting realities come together in a novel that is part SF part history part mystery and entirely enthralling.  Three separate stories follow three main characters:  --Edson is a self-made talent impressario one step up from the slums in a near future São Paulo of astonishing riches and poverty. A chance encounter draws Edson into the dangerous world of illegal quantum computing but where can you run in a total surveillance society where every move face and centavo is constantly tracked?  --Marcelina is an ambitious Rio TV producer looking for that big reality TV hit to make her name. When her hot idea leads her on the track of a disgraced World Cup soccer goalkeeper she becomes enmeshed in an ancient conspiracy that threatens not just her life but her very soul.  --Father Luis is a Jesuit missionary sent into the maelstrom of 18th-century Brazil to locate and punish a rogue priest who has strayed beyond the articles of his faith and set up a vast empire in the hinterland. In the company of a French geographer and spy what he finds in the backwaters of the Amazon tries both his faith and the nature of reality itself to the breaking point.  Three characters three stories three Brazils all linked together across time space and reality in a hugely ambitious story that will challenge the way you think about everything.
Time Salvager,Wesley Chu,https://www.goodreads.com/book/show/23168818-time-salvager,Convicted criminal James Griffin-Mars is no one’s hero. In his time Earth is a toxic abandoned world and humans have fled into the outer solar system to survive eking out a fragile doomed existence among the other planets and their moons. Those responsible for delaying humanity’s demise believe time travel holds the key and they have identified James troubled though he is as one of a select and expendable few ideally suited for the most dangerous job in history.  James is a chronman undertaking missions into Earth's past to recover resources and treasure without altering the timeline. The laws governing use of time travel are absolute
Rite of Passage,Alexei Panshin,https://www.goodreads.com/book/show/229021.Rite_of_Passage,In 2198 one hundred and fifty years after the desperate wars that destroyed an overpopulated Earth Man lives precariously on a hundred hastily-established colony worlds and in the seven giant Ships that once ferried men to the stars. Mia Havero's Ship is a small closed society. It tests its children by casting them out to live or die in a month of Trial in the hostile wilds of a colony world. Mia Havero's Trial is fast approaching and in the meantime she must learn not only the skills that will keep her alive but the deeper courage to face herself and her world. Published originally in 1968 Alexei Panshin's Nebula Award-winning classic has lost none of its relevance with its keen exploration of societal stagnation and the resilience of youth.
Shivering World,Kathy Tyers,https://www.goodreads.com/book/show/335062.Shivering_World,Kathy's best so far says an enthusiastic reader of Shivering World. Dr. Graysha Brady-Phillips is suffering from a genetic disease that causes weakness and early death. When she is offered a position on planet Goddard where the average life span exceeds 150 years she leaps at the chance. The colonists' radical--and illegal--science just might be her only hope for a cure. Graysha must convince a group of paranoid rebel scientists to trust the daughter of their worst enemy her mother. Kathy Tyers has rewritten this favorite science fiction novel to deal more clearly with issues of faith.
Crystal Rain,Tobias S. Buckell,https://www.goodreads.com/book/show/185117.Crystal_Rain,Long ago so the stories say the old-fathers came to Nanagada through a worm's hole in the sky. Looking for a new world to call their own they brought with them a rich mélange of cultures religions and dialects from a far-off planet called Earth. Mighty were the old-fathers with the power to shape the world to their liking—but that was many generations ago and what was once known has long been lost. Steamboats and gas-filled blimps now traverse the planet where people once looked up to see great silver cities in the sky.  Like his world John deBrun has forgotten more than he remembers. Twenty-seven years ago he washed up onto the shore of Nanagada with no memory of his past. Although he has made a new life for himself among the peaceful islanders his soul remains haunted by unanswered questions about his own identity.  These mysteries take on new urgency when the fearsome Azteca storm over the Wicked High Mountains in search of fresh blood and hearts to feed their cruel inhuman gods. Nanagada's only hope lies in a mythical artifact the Ma Wi Jung said to be hidden somewhere in the frozen north. And only John deBrun knows the device's secrets even if he can't remember why or how!  Crystal Rain is the much-anticipated debut novel by one of science fiction's newest and most promising talents.
Schismatrix Plus,Bruce Sterling,https://www.goodreads.com/book/show/161296.Schismatrix_Plus,Schismatrix Plus is Bruce Sterling's new trade paperback. For the first time in one volume: every word Bruce Sterling has ever written on the Shapers-Mechanists Universe.  In the last decade Sterling has emerged a pioneer of crucial cutting-edge science fiction. Now Ace Books is proud to offer Sterling's stunning world of the Schismatrix--where Shaper revolutionaries struggle against aristocratic Mechanists for ultimate control of man's destiny. This volume includes the classic full-length novel Schismatrix plus thousands of words of mind-bending short fiction.
Valentine Pontifex,Robert Silverberg,https://www.goodreads.com/book/show/252970.Valentine_Pontifex,"The national bestselling saga of Robert Silverberg's stunning imagination continues in the first new hardcover ""Majipoor"" novel in nearly a decade. As a prequel to Silverberg's earlier ""Majipoor"" novels. ""Sorcerers of Majipoor"" provides a deep dark vision for the background of the conflict in Lord Valentine's Castle and Valentine Pontifex.Treachery and wizardry run rampant under the reign of the mighty Pontifex as both the rightful and the unworthy heirs to the throne anxiously await his demise. Korsibar son of the current Coronal plots with his twin sister and ambitious companions to seize the power of the Coronal when his father ascends to the throne of the Pontifex.  But the burdens of the crown and scepter exact more of a price than Korsibar is prepared to pay. His rival fights to take his appointed place as keeper of his beloved Majipoor...and to resbackse order to the utter chaos that has befallen their world.  ""Silverberg has created a big planet chock-a-block with life and potential sbacksies."" -- ""The Washington Post"""
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,https://www.goodreads.com/book/show/827.The_Diamond_Age,The Diamond Age: Or a Young Lady's Illustrated Primer is a postcyberpunk novel by Neal Stephenson. It is to some extent a science fiction coming-of-age story focused on a young girl named Nell and set in a future world in which nanotechnology affects all aspects of life. The novel deals with themes of education social class ethnicity and the nature of artificial intelligence.
The Dreaming Void,Peter F. Hamilton,https://www.goodreads.com/book/show/866136.The_Dreaming_Void,The year is 3589 fifteen hundred years after Commonwealth forces barely staved off human extinction in a war against the alien Prime. Now an even greater danger has surfaced: a threat to the existence of the universe itself. At the very heart of the galaxy is the Void a self-contained microuniverse that cannot be breached cannot be destroyed and cannot be stopped as it steadily expands in all directions consuming everything in its path: planets stars civilizations. The Void has existed for untold millions of years. Even the oldest and most technologically advanced of the galaxy’s sentient races the Raiel do not know its origin its makers or its purpose.  But then Inigo an astrophysicist studying the Void begins dreaming of human beings who live within it. Inigo’s dreams reveal a world in which thoughts become actions and dreams become reality. Inside the Void Inigo sees paradise. Thanks to the gaiafield a neural entanglement wired into most humans Inigo’s dreams are shared by hundreds of millions–and a religion the Living Dream is born with Inigo as its prophet. But then he vanishes.  Suddenly there is a new wave of dreams. Dreams broadcast by an unknown Second Dreamer serve as the inspiration for a massive Pilgrimage into the Void. But there is a chance that by attempting to enter the Void the pilgrims will trigger a catastrophic expansion an accelerated devourment phase that will swallow up thousands of worlds.  And thus begins a desperate race to find Inigo and the mysterious Second Dreamer. Some seek to prevent the Pilgrimage
Ubik,"Philip K. Dick, David Alabort (Translator), Manuel Espín (Translator)",https://www.goodreads.com/book/show/22590.Ubik,Glen Runciter está muerto. ¿O lo están todos los demás? Lo que es seguro es que alguien ha muerto en una explosión organizada por los competidores de Runciter. De hecho sus empleados asisten a un funeral. Pero durante el duelo comienzan a recibir mensajes descorcentantes e incluso morbosos de su jefe. Y el mundo a su alrededor comienza a desmoronarse de un modo que sugiere que a ellos tampoco les queda mucho tiempo.  Esta mordaz comedia metafísica de muerte y salvación (que podrá llevar un cómodo envase) es un tour de force de amenaza paranoica y comedia absurda en la cual los muertos ofrecen consejos comerciales compran su siguiente reencarnación y corren el riesgo continuo de volver a morir.
Darwin's Radio,Greg Bear,https://www.goodreads.com/book/show/64923.Darwin_s_Radio,"Molecular biologist Kaye Lang's theory--that ancient diseases encoded in the DNA of humans can return to life--has become a chilling reality. The shocking evidence: a ""virus-hunter"" has tracked down a flu-like disease that kills expectant mothers and their offspring."
Kalimantaan,C.S. Godshalk,https://www.goodreads.com/book/show/759174.Kalimantaan,One hundred and sixty years ago a young Englishman founded a private raj on the coast of Borneo. The world he created eventually took in a territory the size of England its expansion campaigns paid for in human heads. Here polite Victorian conventions coexisted tenuously with one of the most violent cultures on earth often with startling results: pockets of tenderness and extreme brutality appearing where least expected.  Into this world flowed a small tribe of adventurers fugitives criminals and saints-- the madly talented and simply mad. And the women followed: wives and would-be wives spinster nursemaids and heartless schemers the rigidly virtuous and the virtually desperate. And always the children innocents too often the victims of an elemental nature both lush and deadly.  Kalimantaan is the story of this world these people. But the deeper story resides in the realm of the heart. It is about love in absurd conditions the tenacity of it as well as our ability to miss it repeatedly and with perverse genius.
Clans of the Alphane Moon,Philip K. Dick,https://www.goodreads.com/book/show/226486.Clans_of_the_Alphane_Moon,"""Shell Game"" was originally published in 1954 for the first time. Later it was expanded into the ""Clans of the Alphane Moon."" (1964)  When CIA agent Chuck Rittersdorf and his psychiatrist wife Mary file for divorce they have no idea that in a few weeks they will be shooting it out on Alpha III M2 the distant moon ruled by various psychotics liberated from a mental ward. Nor do they suspect that Chuck's new employer the famous TV comedian Bunny Hentman will also be there aiming his own laser gun. How things came to such a darkly hilarious pass is the subject of Clans of the Alphane Moon an astutely shrewd and acerbic tale that blurs all conventional distinctions between sanity and madness."
The Algebraist,Iain M. Banks,https://www.goodreads.com/book/show/12009.The_Algebraist,It is 4034. Humanity has made it to the stars. Fassin Taak a Slow Seer at the Court of the Nasqueron Dwellers will be fortunate if he makes it to the end of the year. The Nasqueron Dwellers inhabit a gas giant on the outskirts of the galaxy in a system awaiting its wormhole connection to the rest of civilization. In the meantime they are dismissed as decadents living in a state of highly developed barbarism hoarding data without order hunting their own young & fighting pointless formal wars. Seconded to a military-religious order he's barely heard of—part of the baroque hierarchy of the Mercatoria the latest galactic hegemony— Taak has to travel again amongst the Dwellers. He is in search of a secret hidden for half a billion years. But with each day that passes a war draws closer—a war threatening to overwhelm everything & everyone he's ever known.
Sky Pirates of Callisto,"Lin Carter, Bruce Pennington (illustrator)",https://www.goodreads.com/book/show/1005191.Sky_Pirates_of_Callisto,Jandar the Alien SAVAGED  Stumbling upon the Lost City of Arangkhor in the trackless jungles of Cambodia Jandar was mysteriously transported to the strange world of Callisto where the teeming black and crimson jungles sprawl under skies of golden vapour.  Now Jandar the Alien fears for the safety of the beautiful princess Darloona a captive of the dreaded Sky Pirates. He resorts to a desperate plan to free her but fate and treachery alter his course and Jandar is taken by the Perushtarians. Abandoned in the loathsome slave-pens of Narouk his destiny is to fight for his life in a barbaric arena of death...  Cover Illustration: Bruce Pennington
Wyrldmaker,Terry Bisson,https://www.goodreads.com/book/show/3422384-wyrldmaker,Kemen of pasTreyn is the ruler of one of the tiny kingdoms of Treyn that are strung like beads on the path of the bottom of the wyrldwall. He has no queen but is haunted by the memory of Noese a magnificent woman who rose from the sea taught him to love and disappeared again.
One-Eye,Stuart Gordon,https://www.goodreads.com/book/show/1974470.One_Eye,They fought for racial purity in Phadraig. All around were monsters but the stern hierachy of the old city was ruthless. Patrick Cormac was their great defender—where he stood the mutants would be halted.  But the long-heralded birth of the one-eyed babe broke the tradition. Not only was it impossible to slay this god-to-be but Patrick himself became its first convert.  Beyond the walls of Phadraig lay the route to the new era that was to be... and there Patrick and his brave companions brought One-Eye to the mutants—and to the tower where the last of the old science-wizardry still held the centuries in thrall.
Trapped in Space,Jack Williamson,https://www.goodreads.com/book/show/898094.Trapped_in_Space,"Astronaut Ben is lost--a million miles from EArth! His last message: ""Strange life forms here...we're under attack...!""  Jeff sets off to rescue him but soon his own crippled starship is caught in the same eerie web of a monstrous creature from outer space!"
Under a Graveyard Sky,John Ringo,https://www.goodreads.com/book/show/16130366-under-a-graveyard-sky,A family of survivors who fight back against a zombie plague that has brought down civilization. Zombies are real. And we made them. Are you prepared for the zombie apocalypse? The Smith family is with the help of a few Marines.  When an airborne “zombie” plague is released bringing civilization to a grinding halt the Smith family Steven Stacey Sophia and Faith take to the Atlantic to avoid the chaos. The plan is to find a safe haven from the anarchy of infected humanity. What they discover instead is a sea composed of the tears of survivors and a passion for bringing hope.  For it is up to the Smiths and a small band of Marines to somehow create the refuge that survivors seek in a world of darkness and terror. Now with every continent a holocaust and every ship an abattoir life is lived beneath a graveyard sky.
Code of the Lifemaker,James P. Hogan,https://www.goodreads.com/book/show/506194.Code_of_the_Lifemaker,Thirg the notorious philosopher knows there are alien beings on other worlds on the other side of the sky. When aliens do arrive Thirg's heretical and dangerous beliefs are vindicated. But the strange creatures called human plan to exploit his planet's resources. Only one human Karl Zambendorf can stop his fellow Terrans from enslaving Thirg's people. Too bad Zambendorf is a con man.
King Rat,James Clavell,https://www.goodreads.com/book/show/9827.King_Rat,The time is World War II. The place is a brutal prison camp deep in Japanese-occupied territory. Here within the seething mass of humanity one man an American corporal seeks dominance over both captives and captors alike. His weapons are human courage unblinking understanding of human weaknesses and total willingness to exploit every opportunity to enlarge his power and corrupt or destroy anyone who stands in his path.
Tik-Tok,John Sladek,https://www.goodreads.com/book/show/236202.Tik_Tok,"""A Robot shall not injure a human being or through inaction allow a human being to come to harm"".  That's Asimov's celebrated First Law of Robotics. And in the 21st century all domestic robots are programmed according to that Law.  But something had gone terribly wrong with Tik-Tok's ""asimov circuits"" and he sets out to injure as many people as possible - preferably fatally - while maintaining the exterior of a mild-mannered artist and a sincere campaigner for robot rights. So like any self-respecting crook and murderer he moves into politics becoming the first robot candidate for Vice-President of the United States.  Tik-Tok follows his maniacal progress from humble beginnings to the top of the heap - or almost. Because in his devious cunning there was one element that Tik-Tok had forgotten...  Winner of the BSFA Award for best novel 1983"
The Three Stigmata of Palmer Eldritch,Philip K. Dick,https://www.goodreads.com/book/show/14185.The_Three_Stigmata_of_Palmer_Eldritch,In the overcrowded world and cramped space colonies of the late 21st century tedium can be endured through the drug Can-D which enables users to inhabit a shared illusory world. When industrialist Palmer Eldritch returns from an interstellar trip he brings with him a new drug Chew-Z. It is far more potent than Can-D but threatens to plunge the world into a permanent state of drugged illusion controlled by the mysterious Eldritch.  Cover illustration: Chris Moore
The Sunrise Lands,S.M. Stirling,https://www.goodreads.com/book/show/264225.The_Sunrise_Lands,A generation has passed since The Change that rendered technology inoperable around the world and western Oregon has finally achieved a degree of peace. But a new threat has risen in Paradise Valley Wyoming. A man known as The Prophet presides over the Church Universal and Triumphant teaching his followers to continue God's work by destroying the remnants of technological civilization they encounter-and those who dare use them.  Rudi Mackenzie son and heir of the mystic Juniper must journey with seven friends across a continent in chaos to the Sunrise Lands to solve the riddle of what destroyed a civilization. And as the friends journey farther into the interior enemies may be within their own band as well as outside it...
The Windup Girl,Paolo Bacigalupi,https://www.goodreads.com/book/show/6597651-the-windup-girl,Anderson Lake is a company man AgriGen's Calorie Man in Thailand. Under cover as a factory manager Anderson combs Bangkok's street markets in search of foodstuffs thought to be extinct hoping to reap the bounty of history's lost calories. There he encounters Emiko...  Emiko is the Windup Girl a strange and beautiful creature. One of the New People Emiko is not human
"The Stars, Like Dust",Isaac Asimov,https://www.goodreads.com/book/show/41822.The_Stars_Like_Dust,Biron Farrell was young and naïve but he was growing up fast. A radiation bomb planted in his dorm room changed him from an innocent student at the University of Earth to a marked man fleeing desperately from an unknown assassin.  He soon discovers that many light-years away his father the highly respected Rancher of Widemos has been murdered. Stunned grief-stricken and outraged Biron is determined to uncover the reasons behind his father’s death and becomes entangled in an intricate saga of rebellion political intrigue and espionage.  The mystery takes him deep into space where he finds himself in a relentless struggle with the power-mad despots of Tyrann. Now it is not just a case of life or death for Biron but a question of freedom for the galaxy.
The Scourge of God,S.M. Stirling,https://www.goodreads.com/book/show/2922849-the-scourge-of-god,"The Scourge of God is a novel of The Change series.  Rudi Mackenzie — son and heir of the High Priestess Juniper Mackenzie and the Bear Lord Mike Havel — continues his trek across the land that once was the United States of America. His destination: Nantucket where he hopes to learn the truth behind the Change which rendered technology around the globe inoperable.  Dreams visions and the accounts of those who dared to set foot on the island hint at forces beyond comprehension...and with the competing agendas for the future of the human race.  During his travels Rudi forges ties with new allies in the continuing war against the Prophet. Presiding over his flock the Church Universal and Triumphant the Prophet teaches his followers as he has been taught: God has punished humanity by destroying technological civilization. Now the Prophet's Cutters perform the ""holy task"" of destroying any technological remnants they come across and those who dare use them.  But one fanatical officer of the Sword of the Prophet has an ever greater mission: to stop Rudi from reaching Nantucket — by any means necessary."
A Working Theory of Love,Scott Hutchins,https://www.goodreads.com/book/show/13588444-a-working-theory-of-love,Settled back into the San Francisco singles scene following the implosion of his young marriage just months after the honeymoon Neill Bassett is going through the motions. His carefully modulated routine however is soon disrupted in ways he can’t dismiss with his usual nonchalance.  When Neill’s father committed suicide ten years ago he left behind thousands of pages of secret journals journals that are stunning in their detail and it must be said their complete banality. But their spectacularly quotidian details were exactly what artificial intelligence company Amiante Systems was looking for and Neill was able to parlay them into a job despite a useless degree in business marketing and absolutely no experience in computer science. He has spent the last two years inputting the diaries into what everyone hopes will become the world’s first sentient computer. Essentially he has been giving it language—using his father’s words. Alarming to Neill—if not to the other employees of Amiante—the experiment seems to be working. The computer actually appears to be gaining awareness and most disconcerting of all has started asking questions about Neill’s childhood.  Amid this psychological turmoil Neill meets Rachel. She was meant to be a one-night stand but Neill is unexpectedly taken with her and the possibilities she holds. At the same time he remains preoccupied by unresolved feelings for his ex-wife who has a talent for appearing at the most unlikely and unfortunate times. When Neill discovers a missing year in the diaries—a year that must hold some secret to his parents’ marriage and perhaps even his father’s suicide—everything Neill thought he knew about his past comes into question and every move forward feels impossible to make.  With a lightness of touch that belies pitch-perfect emotional control Scott Hutchins takes us on an odyssey of love grief and reconciliation that shows us how once we let go of the idea that we’re trapped by our own sad histories—our childhoods our bad decisions our miscommunications with those we love—we have the chance to truly be free. A Working Theory of Love marks the electrifying debut of a prodigious new talent.
Doomsday Book,"Connie Willis, Rafael Marín Trechera (Translator), Daniel Dos Santos (Illustrator)",https://www.goodreads.com/book/show/24983.Doomsday_Book,For Kivrin preparing an on-site study of one of the deadliest eras in humanity's history was as simple as receiving inoculations against the diseases of the fourteenth century and inventing an alibi for a woman traveling alone. For her instructors in the twenty-first century it meant painstaking calculations and careful monitoring of the rendezvous location where Kivrin would be received.  But a crisis strangely linking past and future strands Kivrin in a bygone age as her fellows try desperately to rescue her. In a time of superstition and fear Kivrin--barely of age herself--finds she has become an unlikely angel of hope during one of history's darkest hours.  Connie Willis draws upon her understanding of the universalities of human nature to explore the ageless issues of evil suffering and the indomitable will of the human spirit.
Infomocracy,Malka Ann Older,https://www.goodreads.com/book/show/26114433-infomocracy,It's been twenty years and two election cycles since Information a powerful search engine monopoly pioneered the switch from warring nation-states to global micro-democracy. The corporate coalition party Heritage has won the last two elections. With another election on the horizon the Supermajority is in tight contention and everything's on the line.  With power comes corruption. For Ken this is his chance to do right by the idealistic Policy1st party and get a steady job in the big leagues. For Domaine the election represents another staging ground in his ongoing struggle against the pax democratica. For Mishima a dangerous Information operative the whole situation is a puzzle: how do you keep the wheels running on the biggest political experiment of all time when so many have so much to gain?  Infomocracy is Malka Older's debut novel.
The Lathe of Heaven,Ursula K. Le Guin,https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven,A classic science fiction novel by one of the greatest writers of the genre set in a future world where one man's dreams control the fate of humanity.  In a future world racked by violence and environmental catastrophes George Orr wakes up one day to discover that his dreams have the ability to alter reality. He seeks help from Dr. William Haber a psychiatrist who immediately grasps the power George wields. Soon George must preserve reality itself as Dr. Haber becomes adept at manipulating George's dreams for his own purposes.  The Lathe of Heaven is an eerily prescient novel from award-winning author Ursula K. Le Guin that masterfully addresses the dangers of power and humanity's self-destructiveness questioning the nature of reality itself. It is a classic of the science fiction genre.
The Invention of Morel,"Adolfo Bioy Casares, Ruth L.C. Simms (Translator), Jorge Luis Borges (Prologue), Suzanne Jill Levine (Introduction), Norah Borges de Torre (Illustrator)",https://www.goodreads.com/book/show/94486.The_Invention_of_Morel,Jorge Luis Borges declared The Invention of Morel a masterpiece of plotting comparable to The Turn of The Screw and Journey to the Center of the Earth. Set on a mysterious island Bioy’s novella is a story of suspense and exploration as well as a wonderfully unlikely romance in which every detail is at once crystal clear and deeply mysterious.  Inspired by Bioy Casares’s fascination with the movie star Louise Brooks The Invention of Morel has gone on to live a secret life of its own. Greatly admired by Julio Cortázar Gabriel García Márquez and Octavio Paz the novella helped to usher in Latin American fiction’s now famous postwar boom. As the model for Alain Resnais and Alain Robbe-Grillet’s Last Year at Marienbad it also changed the history of film.
Midshipman's Hope,David Feintuch,https://www.goodreads.com/book/show/1053783.Midshipman_s_Hope,A hideous accident kills the senior officer of UNS Hibernia leaving a terrified young officer to take 300 colonists and crew aboard a damaged ship on a 17-month gauntlet to reach Hope Nation. With no chance of rescue Nicholas Seafort must save lives and take them in the name of duty.
The Gray Prince,Jack Vance,https://www.goodreads.com/book/show/839011.The_Gray_Prince,When Schaine Madduc returned to Koryphon after five years in space her home planet was not as she left it. The several intelligent species that had lived so long in a sort of symbiotic harmony were at each other's throats. The humanoid Uldra were united in rebellion against the human land-holding community of which Schaine was part. The Uldra revolutionary leader and catalyst the Gray Prince Jorjol was actually an Uldra fostered in Schaine's own home and upon whom Schaine had exerted a profound influence. An influence far more profound than Schaine would have thought possible. An influence possibly powerful enough to smash her home her family and her entire way of life!
Barefoot in the Head,Brian W. Aldiss,https://www.goodreads.com/book/show/462550.Barefoot_in_the_Head,When an undeclared Acid Head War breaks out Britain is the first to be devastated by Psycho-Chemical Aerosols--tasteless odourless colourless psychedelic drugs which distort the minds of thousands of civilians into extreme terror or extreme joy. When the warped citizens of Europe proclaim Colin Charteris their hero he finds himself leading an unfathomable crusade in a devastated world. Perhaps Aldiss's most experimental work this first appeared in several parts as the 'Acid Head War' series in New Worlds. Set in a Europe some years after a flare-up in the Middle East led to Europe being attacked with bombs releasing huge quantities of long-lived hallucinogenic drugs. Into an England with a population barely maintaining a grip on reality comes a young Serb who himself starts coming under the influence of the ambient aerosols & finds himself leading a messianic crusade. The narration & dialog reflects the shattering of language under the influence of the drugs in mutating phrases & puns & allusions in a deliberate echo of Finnegans Wake.--Wikipedia
